candidate_id,Name,Skills,Experience,Education,Recommendation,Score,Matched Skills,Missing Skills,Behavior Score,Location,Reasoning
CAND_0088025,Candidate 0088025,"Pinecone, QLoRA, LLMs, Hugging Face Transformers, RAG, SAP, TensorFlow, LoRA, Flask, Prompt Engineering, BM25, Elasticsearch, MLOps, pgvector, Learning to Rank, Deep Learning, Python, NLP, YOLO",8.6 Years,Ph.D in Data Science at COEP Pune,Consider,70.7%,"Python, Machine Learning, NLP, TensorFlow, RAG","Docker, SQL, NoSQL, REST API, Git",82.7%,"Jaipur, Rajasthan, India","Matched [Python, Machine Learning, NLP] | Missing [Docker, SQL, NoSQL] | 8.6 years experience | Platform engagement: High (GitHub: 75%) | Location: Willing to Relocate | Final Score: 70.7%"
CAND_0057701,Candidate 0057701,"Deep Learning, Prompt Engineering, OpenSearch, Qdrant, Python, Snowflake, Machine Learning, Hugging Face Transformers, PEFT, Vue.js, Milvus, TensorFlow, Feature Engineering, Time Series, Learning to Rank, TypeScript, TTS",4.1 Years,M.E. in Computer Science at IIT Roorkee,Consider,64.6%,"Python, Machine Learning, TensorFlow","NLP, Docker, SQL, NoSQL, RAG, REST API, Git",66.8%,"Chandigarh, Chandigarh, India","Matched [Python, Machine Learning, TensorFlow] | Missing [NLP, Docker, SQL] | 4.1 years experience | Platform engagement: Medium (GitHub: 65%) | Location: Willing to Relocate | Final Score: 64.6%"
CAND_0094685,Candidate 0094685,"Weaviate, Feature Engineering, MLflow, MLOps, YOLO, Tally, Diffusion Models, Time Series, Machine Learning, Image Classification, pgvector, Python, OpenCV",3.5 Years,B.Sc in Machine Learning at Carnegie Mellon University; Ph.D in Data Science at Jadavpur University,Consider,64.6%,"Python, Machine Learning","NLP, TensorFlow, Docker, SQL, NoSQL, RAG, REST API, Git",75.2%,"Pune, Maharashtra, India","Matched [Python, Machine Learning] | Missing [NLP, TensorFlow, Docker] | 3.5 years experience | Platform engagement: High (GitHub: 53%) | Location: Willing to Relocate | Final Score: 64.6%"
CAND_0071974,Candidate 0071974,"LoRA, Learning to Rank, Weaviate, PEFT, BM25, Pinecone, Machine Learning, Information Retrieval, Qdrant, Embeddings, CNN, RAG, MLOps, Forecasting, Sentence Transformers, Content Writing, Speech Recognition, Elasticsearch, Object Detection",7.8 Years,M.Sc in Artificial Intelligence at NIT Warangal,Consider,64.6%,"Machine Learning, RAG","Python, NLP, TensorFlow, Docker, SQL, NoSQL, REST API, Git",83.0%,"Vizag, Andhra Pradesh, India","Matched [Machine Learning, RAG] | Missing [Python, NLP, TensorFlow] | 7.8 years experience | Platform engagement: High (GitHub: 83%) | Location: Willing to Relocate | Final Score: 64.6%"
CAND_0081686,Candidate 0081686,"Machine Learning, Kubeflow, Embeddings, FAISS, Feature Engineering, OpenCV, Milvus, BigQuery, CNN, Python, LangChain, Semantic Search, QLoRA, Java, LLMs, Hugging Face Transformers, Forecasting, Weights & Biases",6.0 Years,M.S. in Data Science at IIT Kanpur,Consider,64.6%,"Python, Machine Learning","NLP, TensorFlow, Docker, SQL, NoSQL, RAG, REST API, Git",69.2%,"Austin, USA","Matched [Python, Machine Learning] | Missing [NLP, TensorFlow, Docker] | 6.0 years experience | Platform engagement: Medium (GitHub: 46%) | Location: Willing to Relocate | Final Score: 64.6%"
CAND_0016163,Candidate 0016163,"Hugging Face Transformers, Computer Vision, gRPC, Time Series, Weaviate, CNN, Deep Learning, TensorFlow, ASR, Embeddings, Tailwind, Reinforcement Learning, LoRA, pgvector, Statistical Modeling, Pinecone, Machine Learning",6.7 Years,M.E. in Machine Learning at Jadavpur University,Consider,64.6%,"Machine Learning, TensorFlow","Python, NLP, Docker, SQL, NoSQL, RAG, REST API, Git",83.5%,"Gurgaon, Haryana, India","Matched [Machine Learning, TensorFlow] | Missing [Python, NLP, Docker] | 6.7 years experience | Platform engagement: High (GitHub: 95%) | Location: Willing to Relocate | Final Score: 64.6%"
CAND_0014743,Candidate 0014743,"Information Retrieval, Angular, scikit-learn, Statistical Modeling, Machine Learning, Elasticsearch, Weaviate, BentoML, Weights & Biases, Reinforcement Learning, Object Detection, Python, REST APIs, BM25",3.6 Years,B.E. in Computer Engineering at SRM University; Ph.D in Information Technology at Thapar University,Consider,64.6%,"Python, Machine Learning, REST API","NLP, TensorFlow, Docker, SQL, NoSQL, RAG, Git",70.5%,"Coimbatore, Tamil Nadu, India","Matched [Python, Machine Learning, REST API] | Missing [NLP, TensorFlow, Docker] | 3.6 years experience | Platform engagement: Medium (GitHub: 47%) | Location: Willing to Relocate | Final Score: 64.6%"
CAND_0026913,Candidate 0026913,"Spring Boot, scikit-learn, MLflow, Time Series, LlamaIndex, MLOps, Kubernetes, TensorFlow, TTS, YOLO, Reinforcement Learning, Fine-tuning LLMs, NLP, ASR, Recommendation Systems, Feature Engineering, SQL",3.9 Years,M.E. in Machine Learning at COEP Pune,Consider,64.6%,"NLP, TensorFlow, SQL, NoSQL","Python, Machine Learning, Docker, RAG, REST API, Git",74.8%,"Chandigarh, Chandigarh, India","Matched [NLP, TensorFlow, SQL] | Missing [Python, Machine Learning, Docker] | 3.9 years experience | Platform engagement: Medium (GitHub: 27%) | Location: Willing to Relocate | Final Score: 64.6%"
CAND_0068985,Candidate 0068985,"Prompt Engineering, TensorFlow, Reinforcement Learning, Rust, Time Series, Hugging Face Transformers, Azure, Machine Learning, Speech Recognition, Semantic Search, Qdrant, Computer Vision, OpenSearch, Java, REST APIs, Diffusion Models",5.2 Years,M.Tech in Data Science at VJTI Mumbai,Consider,64.5%,"Machine Learning, TensorFlow, REST API","Python, NLP, Docker, SQL, NoSQL, RAG, Git",67.4%,"New York, USA","Matched [Machine Learning, TensorFlow, REST API] | Missing [Python, NLP, Docker] | 5.2 years experience | Platform engagement: Medium (GitHub: 62%) | Location: Willing to Relocate | Final Score: 64.5%"
CAND_0008392,Candidate 0008392,"GANs, Diffusion Models, SEO, Scrum, Sentence Transformers, Weights & Biases, Statistical Modeling, Python, pgvector, REST APIs, OpenCV, NLP",4.2 Years,M.Sc in Data Science at IIT Bombay,Consider,64.5%,"Python, NLP, REST API","Machine Learning, TensorFlow, Docker, SQL, NoSQL, RAG, Git",70.3%,"Pune, Maharashtra, India","Matched [Python, NLP, REST API] | Missing [Machine Learning, TensorFlow, Docker] | 4.2 years experience | Platform engagement: Medium (GitHub: 66%) | Location: Willing to Relocate | Final Score: 64.5%"
CAND_0040972,Candidate 0040972,"MLOps, OpenCV, GANs, SEO, ASR, Django, Accounting, MongoDB, Kubeflow, Docker, CI/CD, Sales, NLP, Machine Learning, SQL, Reinforcement Learning, YOLO",6.2 Years,Ph.D in Statistics at Regional Technical Institute; M.E. in Electronics at Generic State University,Consider,64.5%,"Machine Learning, NLP, Docker, SQL, NoSQL","Python, TensorFlow, RAG, REST API, Git",45.7%,"Trivandrum, Kerala, India","Matched [Machine Learning, NLP, Docker] | Missing [Python, TensorFlow, RAG] | 6.2 years experience | Platform engagement: Medium (GitHub: 16%) | Location: Willing to Relocate | Final Score: 64.5%"
CAND_0075304,Candidate 0075304,"ASR, Machine Learning, MLOps, Data Science, Qdrant, SQL, Image Classification, Spark, Java, Docker, Computer Vision, Content Writing, BM25, Forecasting, Data Pipelines, Weaviate, YOLO",3.4 Years,B.Sc in Civil Engineering at COEP Pune,Consider,64.5%,"Machine Learning, Docker, SQL, NoSQL","Python, NLP, TensorFlow, RAG, REST API, Git",71.9%,"Chennai, Tamil Nadu, India","Matched [Machine Learning, Docker, SQL] | Missing [Python, NLP, TensorFlow] | 3.4 years experience | Platform engagement: Medium (GitHub: 72%) | Location: Willing to Relocate | Final Score: 64.5%"
CAND_0022523,Candidate 0022523,"Vector Search, RAG, gRPC, Machine Learning, TensorFlow, SAP, MLflow, ASR, Databricks, Weights & Biases",2.7 Years,M.Tech in Computer Engineering at Manipal Institute of Technology,Consider,64.4%,"Machine Learning, TensorFlow, RAG","Python, NLP, Docker, SQL, NoSQL, REST API, Git",68.4%,"Chandigarh, Chandigarh, India","Matched [Machine Learning, TensorFlow, RAG] | Missing [Python, NLP, Docker] | 2.7 years experience | Platform engagement: Medium (GitHub: 40%) | Location: Willing to Relocate | Final Score: 64.4%"
CAND_0086022,Candidate 0086022,"Vector Search, MLflow, Recommendation Systems, Databricks, Deep Learning, pgvector, Fine-tuning LLMs, Elasticsearch, QLoRA, Pinecone, Embeddings, Kubeflow, PyTorch, ETL, TensorFlow, NLP, Sentence Transformers, LoRA, LangChain",5.3 Years,B.Tech in Data Science at Stanford University,Consider,64.4%,"Machine Learning, NLP, TensorFlow","Python, Docker, SQL, NoSQL, RAG, REST API, Git",75.1%,"Kolkata, West Bengal, India","Matched [Machine Learning, NLP, TensorFlow] | Missing [Python, Docker, SQL] | 5.3 years experience | Platform engagement: High (GitHub: 75%) | Location: Willing to Relocate | Final Score: 64.4%"
CAND_0084090,Candidate 0084090,"Computer Vision, LlamaIndex, CI/CD, NLP, Feature Engineering, MLflow, TensorFlow, TTS, OpenCV, Qdrant, pgvector, QLoRA, Python, Vue.js, CNN, Vector Search",3.9 Years,B.Tech in Machine Learning at Manipal Institute of Technology,Consider,64.4%,"Python, NLP, TensorFlow","Machine Learning, Docker, SQL, NoSQL, RAG, REST API, Git",66.9%,"Indore, Madhya Pradesh, India","Matched [Python, NLP, TensorFlow] | Missing [Machine Learning, Docker, SQL] | 3.9 years experience | Platform engagement: Medium (GitHub: 20%) | Location: Willing to Relocate | Final Score: 64.4%"
CAND_0008425,Candidate 0008425,"Learning to Rank, Qdrant, Weights & Biases, pgvector, Sentence Transformers, NLP, Haystack, TensorFlow, Python, Prompt Engineering, Image Classification, Object Detection, Semantic Search, LoRA, Recommendation Systems, Information Retrieval, Hugging Face Transformers",7.8 Years,M.S. in Computer Engineering at BITS Pilani,Consider,64.4%,"Python, NLP, TensorFlow","Machine Learning, Docker, SQL, NoSQL, RAG, REST API, Git",72.0%,"Kolkata, West Bengal, India","Matched [Python, NLP, TensorFlow] | Missing [Machine Learning, Docker, SQL] | 7.8 years experience | Platform engagement: Medium (GitHub: 53%) | Location: Willing to Relocate | Final Score: 64.4%"
CAND_0031703,Candidate 0031703,"Weights & Biases, FastAPI, Object Detection, TTS, CNN, NLP, Diffusion Models, BM25, BentoML, Machine Learning, Hugging Face Transformers, Speech Recognition, Learning to Rank, Node.js, TensorFlow, REST APIs, Qdrant, Statistical Modeling",6.8 Years,B.E. in Machine Learning at Georgia Tech,Consider,64.4%,"Machine Learning, NLP, TensorFlow, REST API","Python, Docker, SQL, NoSQL, RAG, Git",63.0%,"Trivandrum, Kerala, India","Matched [Machine Learning, NLP, TensorFlow] | Missing [Python, Docker, SQL] | 6.8 years experience | Platform engagement: Medium | Location: Willing to Relocate | Final Score: 64.4%"
CAND_0068351,Candidate 0068351,"pgvector, Deep Learning, Qdrant, Elasticsearch, Feature Engineering, Text Encoders, PEFT, Spring Boot, Python, Redis, Haystack, Machine Learning, Open-source ML libraries, Ranking Systems, LoRA, Information Retrieval Systems, Search Backend, GANs, NLP",6.4 Years,M.E. in Computer Science at IIIT Bangalore; B.Tech in Computer Engineering at Carnegie Mellon University,Consider,64.4%,"Python, Machine Learning, NLP","TensorFlow, Docker, SQL, NoSQL, RAG, REST API, Git",59.6%,"Delhi, Delhi, India","Matched [Python, Machine Learning, NLP] | Missing [TensorFlow, Docker, SQL] | 6.4 years experience | Platform engagement: Medium | Location: Willing to Relocate | Final Score: 64.4%"
CAND_0058517,Candidate 0058517,"MLflow, Data Science, Tailwind, Spark, Terraform, LlamaIndex, NLP, Computer Vision, BentoML, TensorFlow, MLOps, Deep Learning, Redis, OpenCV, Speech Recognition, Machine Learning",5.1 Years,Ph.D in Machine Learning at IISc Bangalore,Consider,64.3%,"Machine Learning, NLP, TensorFlow","Python, Docker, SQL, NoSQL, RAG, REST API, Git",66.6%,"Indore, Madhya Pradesh, India","Matched [Machine Learning, NLP, TensorFlow] | Missing [Python, Docker, SQL] | 5.1 years experience | Platform engagement: Medium (GitHub: 77%) | Location: Willing to Relocate | Final Score: 64.3%"
CAND_0044213,Candidate 0044213,"LoRA, Weights & Biases, Python, Kubernetes, Machine Learning, Diffusion Models, scikit-learn, Deep Learning, Object Detection, Information Retrieval, Hugging Face Transformers, Illustrator, Apache Flink, Vector Search, Reinforcement Learning, GraphQL",3.7 Years,M.S. in Computer Science at Thapar University,Consider,64.3%,"Python, Machine Learning","NLP, TensorFlow, Docker, SQL, NoSQL, RAG, REST API, Git",83.6%,"Bangalore, Karnataka, India","Matched [Python, Machine Learning] | Missing [NLP, TensorFlow, Docker] | 3.7 years experience | Platform engagement: High (GitHub: 69%) | Location: Willing to Relocate | Final Score: 64.3%"
CAND_0080766,Candidate 0080766,"Search Backend, LoRA, Vue.js, Tally, Search & Discovery, MLOps, Search Infrastructure, MLflow, Open-source ML libraries, Information Retrieval Systems, Elasticsearch, Computer Vision, Deep Learning, Natural Language Processing, QLoRA, YOLO, OpenSearch, Python, Milvus, ASR, TensorFlow",8.8 Years,M.Sc in Computer Engineering at RV College of Engineering; M.E. in Computer Science at NIT Surathkal,Consider,64.3%,"Python, Machine Learning, TensorFlow","NLP, Docker, SQL, NoSQL, RAG, REST API, Git",71.2%,"Coimbatore, Tamil Nadu, India","Matched [Python, Machine Learning, TensorFlow] | Missing [NLP, Docker, SQL] | 8.8 years experience | Platform engagement: Medium (GitHub: 33%) | Location: Willing to Relocate | Final Score: 64.3%"
CAND_0003977,Candidate 0003977,"Learning to Rank, NLP, Node.js, Embeddings, Semantic Search, Image Classification, PyTorch, CNN, Python, Prompt Engineering, Object Detection, Terraform, Machine Learning",4.6 Years,M.Tech in Data Science at COEP Pune; M.Sc in Artificial Intelligence at NIT Surathkal,Consider,64.3%,"Python, Machine Learning, NLP","TensorFlow, Docker, SQL, NoSQL, RAG, REST API, Git",63.4%,"Delhi, Delhi, India","Matched [Python, Machine Learning, NLP] | Missing [TensorFlow, Docker, SQL] | 4.6 years experience | Platform engagement: Medium (GitHub: 58%) | Location: Willing to Relocate | Final Score: 64.3%"
CAND_0084498,Candidate 0084498,"RAG, Six Sigma, Webpack, MLOps, FastAPI, Data Science, Speech Recognition, Haystack, Python, NLP, PyTorch, Image Classification, CNN",3.1 Years,Ph.D in Information Technology at VIT Vellore; Ph.D in Artificial Intelligence at RV College of Engineering,Consider,64.3%,"Python, NLP, RAG","Machine Learning, TensorFlow, Docker, SQL, NoSQL, REST API, Git",57.0%,"Delhi, Delhi, India","Matched [Python, NLP, RAG] | Missing [Machine Learning, TensorFlow, Docker] | 3.1 years experience | Platform engagement: Medium (GitHub: 73%) | Location: Willing to Relocate | Final Score: 64.3%"
CAND_0030468,Candidate 0030468,"Information Retrieval Systems, Content Matching, Text Encoders, TensorFlow, Search & Discovery, CNN, Model Adaptation, Machine Learning, Ranking Systems, Diffusion Models, OpenSearch, Computer Vision, Milvus, Recommendation Systems",5.4 Years,M.Tech in Machine Learning at IIT Delhi; M.Tech in Machine Learning at IIT Delhi,Consider,64.3%,"Machine Learning, TensorFlow","Python, NLP, Docker, SQL, NoSQL, RAG, REST API, Git",77.1%,"Indore, Madhya Pradesh, India","Matched [Machine Learning, TensorFlow] | Missing [Python, NLP, Docker] | 5.4 years experience | Platform engagement: High (GitHub: 45%) | Location: Willing to Relocate | Final Score: 64.3%"
CAND_0051630,Candidate 0051630,"Elasticsearch, Hugging Face Transformers, BentoML, MLflow, Embeddings, Recommendation Systems, Machine Learning, Python, NLP, Excel, OpenSearch, GANs, LoRA, Sentence Transformers, Information Retrieval, OpenCV, Computer Vision, Reinforcement Learning",6.0 Years,M.S. in Computer Engineering at Thapar University; B.Sc in Computer Science at Chandigarh University,Consider,64.3%,"Python, Machine Learning, NLP","TensorFlow, Docker, SQL, NoSQL, RAG, REST API, Git",48.1%,"Kolkata, West Bengal, India","Matched [Python, Machine Learning, NLP] | Missing [TensorFlow, Docker, SQL] | 6.0 years experience | Platform engagement: Medium (GitHub: 66%) | Location: Willing to Relocate | Final Score: 64.3%"
CAND_0026942,Candidate 0026942,"Learning to Rank, LangChain, CNN, Microservices, TensorFlow, BentoML, Time Series, MLflow, Reinforcement Learning, Computer Vision, Information Retrieval, Data Science, Recommendation Systems, Haystack, scikit-learn, REST APIs, OpenCV, Content Writing",6.0 Years,M.Sc in Artificial Intelligence at VJTI Mumbai,Consider,64.2%,"TensorFlow, REST API","Python, Machine Learning, NLP, Docker, SQL, NoSQL, RAG, Git",76.3%,"Chandigarh, Chandigarh, India","Matched [TensorFlow, REST API] | Missing [Python, Machine Learning, NLP] | 6.0 years experience | Platform engagement: High (GitHub: 67%) | Location: Willing to Relocate | Final Score: 64.2%"
CAND_0093193,Candidate 0093193,"Ranking Systems, Text Encoders, Indexing Algorithms, Forecasting, Vector Representations, Qdrant, OpenSearch, Open-source ML libraries, TensorFlow, Content Matching, Information Retrieval Systems, Haystack, Statistical Modeling, Machine Learning, Search & Discovery, GANs, Search Backend, scikit-learn, ASR",7.9 Years,Ph.D in Information Technology at Jadavpur University,Consider,64.2%,"Machine Learning, TensorFlow","Python, NLP, Docker, SQL, NoSQL, RAG, REST API, Git",73.0%,"Bangalore, Karnataka, India","Matched [Machine Learning, TensorFlow] | Missing [Python, NLP, Docker] | 7.9 years experience | Platform engagement: Medium (GitHub: 34%) | Location: Willing to Relocate | Final Score: 64.2%"
CAND_0003810,Candidate 0003810,"PostgreSQL, CSS, TensorFlow, BigQuery, Docker, NLP, Flask, Node.js, Airflow, Kafka, React",3.3 Years,M.E. in Information Technology at Manipal Institute of Technology,Consider,64.2%,"NLP, TensorFlow, Docker","Python, Machine Learning, SQL, NoSQL, RAG, REST API, Git",52.1%,"Coimbatore, Tamil Nadu, India","Matched [NLP, TensorFlow, Docker] | Missing [Python, Machine Learning, SQL] | 3.3 years experience | Platform engagement: Medium (GitHub: 52%) | Location: Willing to Relocate | Final Score: 64.2%"
CAND_0058688,Candidate 0058688,"OpenCV, CNN, scikit-learn, Object Detection, LlamaIndex, Computer Vision, Embeddings, Snowflake, TensorFlow, Diffusion Models, Information Retrieval, Milvus, Image Classification, Machine Learning, QLoRA, PostgreSQL, Semantic Search",6.7 Years,M.Tech in Machine Learning at Massachusetts Institute of Technology,Consider,64.2%,"Machine Learning, TensorFlow","Python, NLP, Docker, SQL, NoSQL, RAG, REST API, Git",71.0%,"Berlin, Germany","Matched [Machine Learning, TensorFlow] | Missing [Python, NLP, Docker] | 6.7 years experience | Platform engagement: Medium (GitHub: 39%) | Location: Willing to Relocate | Final Score: 64.2%"
CAND_0092255,Candidate 0092255,"Machine Learning, PyTorch, Statistical Modeling, Figma, Weaviate, Semantic Search, CNN, Data Science, OpenSearch, RAG, Content Writing, Learning to Rank, Vector Search, Time Series, MLOps, Webpack",5.2 Years,B.E. in Artificial Intelligence at BITS Pilani,Consider,64.2%,"Machine Learning, RAG","Python, NLP, TensorFlow, Docker, SQL, NoSQL, REST API, Git",65.7%,"Noida, Uttar Pradesh, India","Matched [Machine Learning, RAG] | Missing [Python, NLP, TensorFlow] | 5.2 years experience | Platform engagement: Medium (GitHub: 78%) | Location: Willing to Relocate | Final Score: 64.2%"
CAND_0092989,Candidate 0092989,"Qdrant, Statistical Modeling, TensorFlow, BM25, Photoshop, Reinforcement Learning, Flask, MongoDB, Object Detection, GANs, RAG, Feature Engineering, Data Science, ASR",6.1 Years,M.Sc in Computer Science at Manipal Institute of Technology; M.Tech in Machine Learning at SRM Chennai,Consider,64.2%,"TensorFlow, RAG","Python, Machine Learning, NLP, Docker, SQL, NoSQL, REST API, Git",67.4%,"Dubai, UAE","Matched [TensorFlow, RAG] | Missing [Python, Machine Learning, NLP] | 6.1 years experience | Platform engagement: Medium | Location: Willing to Relocate | Final Score: 64.2%"
CAND_0005649,Candidate 0005649,"Haystack, Redis, Prompt Engineering, Object Detection, Deep Learning, TensorFlow, Fine-tuning LLMs, Recommendation Systems, QLoRA, OpenCV, Semantic Search, Weaviate, scikit-learn, RAG, Microservices, Information Retrieval, Kubeflow",7.4 Years,Ph.D in Information Technology at RV College of Engineering,Consider,64.2%,"Machine Learning, TensorFlow, RAG","Python, NLP, Docker, SQL, NoSQL, REST API, Git",63.6%,"Delhi, Delhi, India","Matched [Machine Learning, TensorFlow, RAG] | Missing [Python, NLP, Docker] | 7.4 years experience | Platform engagement: Medium (GitHub: 81%) | Location: Willing to Relocate | Final Score: 64.2%"
CAND_0007460,Candidate 0007460,"LangChain, PEFT, Embeddings, Haystack, PostgreSQL, Weaviate, Information Retrieval, BentoML, YOLO, Go, LoRA, Recommendation Systems, RAG, Airflow, Diffusion Models, Computer Vision, Semantic Search, NLP",4.7 Years,M.Tech in Machine Learning at VIT Chennai,Consider,64.1%,"NLP, RAG","Python, Machine Learning, TensorFlow, Docker, SQL, NoSQL, REST API, Git",71.1%,"Pune, Maharashtra, India","Matched [NLP, RAG] | Missing [Python, Machine Learning, TensorFlow] | 4.7 years experience | Platform engagement: Medium (GitHub: 53%) | Location: Willing to Relocate | Final Score: 64.1%"
CAND_0002344,Candidate 0002344,"NLP, TensorFlow, Django, Pinecone, MLOps, Hugging Face Transformers, Haystack, Image Classification, YOLO, Information Retrieval, Reinforcement Learning, Spark, LLMs, TypeScript, Object Detection, React, Recommendation Systems, Feature Engineering",4.7 Years,M.E. in Artificial Intelligence at Jadavpur University; B.Sc in Artificial Intelligence at IIT Delhi,Consider,64.1%,"NLP, TensorFlow","Python, Machine Learning, Docker, SQL, NoSQL, RAG, REST API, Git",81.4%,"Chennai, Tamil Nadu, India","Matched [NLP, TensorFlow] | Missing [Python, Machine Learning, Docker] | 4.7 years experience | Platform engagement: High (GitHub: 82%) | Location: Willing to Relocate | Final Score: 64.1%"
CAND_0073504,Candidate 0073504,"Elasticsearch, Angular, LangChain, Image Classification, TTS, Diffusion Models, pgvector, GraphQL, RAG, MLflow, TensorFlow, Microservices, Kubeflow, Sales, GANs, Vector Search",6.6 Years,Ph.D in Electrical Engineering at Lovely Professional University; M.Sc in Information Technology at Christ University,Consider,64.1%,"TensorFlow, RAG","Python, Machine Learning, NLP, Docker, SQL, NoSQL, REST API, Git",73.1%,"Gurgaon, Haryana, India","Matched [TensorFlow, RAG] | Missing [Python, Machine Learning, NLP] | 6.6 years experience | Platform engagement: Medium (GitHub: 62%) | Location: Willing to Relocate | Final Score: 64.1%"
CAND_0042506,Candidate 0042506,"PEFT, TTS, scikit-learn, OpenCV, Semantic Search, BentoML, Fine-tuning LLMs, TensorFlow, Information Retrieval, Diffusion Models, Milvus, Deep Learning, Qdrant, FAISS, Airflow, Object Detection, NLP, Forecasting, pgvector",4.2 Years,B.Tech in Machine Learning at Amity University; M.E. in Computer Science at PES University,Consider,64.1%,"Machine Learning, NLP, TensorFlow","Python, Docker, SQL, NoSQL, RAG, REST API, Git",71.4%,"Mumbai, Maharashtra, India","Matched [Machine Learning, NLP, TensorFlow] | Missing [Python, Docker, SQL] | 4.2 years experience | Platform engagement: Medium (GitHub: 64%) | Location: Willing to Relocate | Final Score: 64.1%"
CAND_0030513,Candidate 0030513,"PowerPoint, CSS, SQL, Docker, CI/CD, Photoshop, Python, Accounting, REST APIs, Qdrant, Java, ETL",6.6 Years,M.Sc in Machine Learning at IIT Hyderabad,Consider,64.1%,"Python, Docker, SQL, NoSQL, REST API","Machine Learning, NLP, TensorFlow, RAG, Git",42.3%,"Gurgaon, Haryana, India","Matched [Python, Docker, SQL] | Missing [Machine Learning, NLP, TensorFlow] | 6.6 years experience | Platform engagement: Medium | Location: Willing to Relocate | Final Score: 64.1%"
CAND_0035987,Candidate 0035987,"ETL, YOLO, Statistical Modeling, Databricks, TensorFlow, REST APIs, SQL, Speech Recognition, OpenCV, MLflow, Pinecone, MLOps",5.8 Years,M.Sc in Statistics at Christ University,Consider,64.1%,"TensorFlow, SQL, NoSQL, REST API","Python, Machine Learning, NLP, Docker, RAG, Git",71.9%,"Pune, Maharashtra, India","Matched [TensorFlow, SQL, NoSQL] | Missing [Python, Machine Learning, NLP] | 5.8 years experience | Platform engagement: Medium (GitHub: 56%) | Location: Willing to Relocate | Final Score: 64.1%"
CAND_0057563,Candidate 0057563,"Deep Learning, Speech Recognition, RAG, Rust, Elasticsearch, Feature Engineering, OpenSearch, SQL, QLoRA, Prompt Engineering, Hugging Face Transformers, Machine Learning, Time Series, Forecasting",6.8 Years,M.E. in Computer Science at BITS Pilani; B.E. in Information Technology at Amity University,Consider,64.1%,"Machine Learning, SQL, NoSQL, RAG","Python, NLP, TensorFlow, Docker, REST API, Git",70.0%,"Indore, Madhya Pradesh, India","Matched [Machine Learning, SQL, NoSQL] | Missing [Python, NLP, TensorFlow] | 6.8 years experience | Platform engagement: Medium (GitHub: 23%) | Location: Willing to Relocate | Final Score: 64.1%"
CAND_0071747,Candidate 0071747,"Milvus, Fine-tuning LLMs, Haystack, Semantic Search, Statistical Modeling, OpenCV, Python, BentoML, CSS, Reinforcement Learning, TensorFlow, Forecasting, Recommendation Systems",4.2 Years,B.Sc in Machine Learning at Anna University; Ph.D in Information Technology at IIT Delhi,Consider,64.0%,"Python, TensorFlow","Machine Learning, NLP, Docker, SQL, NoSQL, RAG, REST API, Git",72.1%,"Kolkata, West Bengal, India","Matched [Python, TensorFlow] | Missing [Machine Learning, NLP, Docker] | 4.2 years experience | Platform engagement: Medium (GitHub: 68%) | Location: Willing to Relocate | Final Score: 64.0%"
CAND_0024203,Candidate 0024203,"Content Writing, Python, Node.js, Time Series, Statistical Modeling, OpenCV, Elasticsearch, Feature Engineering, LoRA, OpenSearch, TensorFlow, Data Science, Databricks, RAG, ASR, Salesforce CRM",4.4 Years,M.Sc in Artificial Intelligence at Bharati Vidyapeeth,Consider,64.0%,"Python, TensorFlow, RAG","Machine Learning, NLP, Docker, SQL, NoSQL, REST API, Git",53.2%,"Trivandrum, Kerala, India","Matched [Python, TensorFlow, RAG] | Missing [Machine Learning, NLP, Docker] | 4.4 years experience | Platform engagement: Medium | Location: Willing to Relocate | Final Score: 64.0%"
CAND_0036604,Candidate 0036604,"LlamaIndex, Fine-tuning LLMs, Forecasting, Vector Search, Speech Recognition, Reinforcement Learning, Docker, BM25, NLP, TensorFlow, Databricks, Learning to Rank, Project Management, Diffusion Models, Salesforce CRM, PEFT, OpenCV",4.7 Years,Ph.D in Artificial Intelligence at VIT Vellore,Consider,64.0%,"NLP, TensorFlow, Docker","Python, Machine Learning, SQL, NoSQL, RAG, REST API, Git",62.9%,"Jaipur, Rajasthan, India","Matched [NLP, TensorFlow, Docker] | Missing [Python, Machine Learning, SQL] | 4.7 years experience | Platform engagement: Medium (GitHub: 16%) | Location: Willing to Relocate | Final Score: 64.0%"
CAND_0027691,Candidate 0027691,"SAP, LoRA, PEFT, Recommendation Systems, Statistical Modeling, Weaviate, scikit-learn, Marketing, Embeddings, Learning to Rank, TTS, QLoRA, TensorFlow, Semantic Search, Python, MLflow, Computer Vision",6.5 Years,M.Sc in Machine Learning at Thapar University; M.E. in Data Science at KIIT University,Consider,64.0%,"Python, TensorFlow","Machine Learning, NLP, Docker, SQL, NoSQL, RAG, REST API, Git",73.9%,"Pune, Maharashtra, India","Matched [Python, TensorFlow] | Missing [Machine Learning, NLP, Docker] | 6.5 years experience | Platform engagement: Medium (GitHub: 58%) | Location: Willing to Relocate | Final Score: 64.0%"
